C_ID,C_AGE,PC,C_seg
533,49,57616,NORMAL
1672,68,70263,NORMAL
2089,84,19713,NORMAL
3780,31,7852,NORMAL
4765,47,5601,NORMAL
6529,46,69788,NORMAL
7131,65,69992,NORMAL
10874,76,50201,NORMAL
13803,58,24650,NORMAL
13993,63,48955,NORMAL
14742,67,7815,NORMAL
15110,42,98085,NORMAL
15454,62,97628,NORMAL
16238,46,60137,NORMAL
17560,61,50117,NORMAL
17665,59,86180,NORMAL
17731,63,18816,NORMAL
18824,58,79160,NORMAL
20093,70,35492,NORMAL
20128,44,19648,NORMAL
20169,46,60443,NORMAL
20343,43,98097,NORMAL
20416,64,96730,NORMAL
20694,63,30467,NORMAL
21184,57,24306,NORMAL
22138,75,10413,NORMAL
22359,35,70112,NORMAL
22386,53,88212,NORMAL
23677,64,66664,NORMAL
23847,45,69905,NORMAL
24058,56,4694,NORMAL
24790,53,60651,NORMAL
25497,59,20878,NORMAL
28046,54,76906,NORMAL
29514,56,69774,NORMAL
30418,45,30239,NORMAL
32571,60,60278,NORMAL
33237,46,19953,NORMAL
33531,52,88200,NORMAL
35042,66,50329,NORMAL
39171,43,63432,NORMAL
39789,57,44262,NORMAL
41633,56,20881,NORMAL
43121,38,96231,NORMAL
45031,66,8456,NORMAL
47812,36,50531,NORMAL
48960,65,60345,NORMAL
48977,54,37917,NORMAL
52778,61,50235,NORMAL
53987,51,28108,NORMAL
54808,42,60604,NORMAL
55664,50,97415,NORMAL
55849,64,20740,NORMAL
56673,49,30653,NORMAL
58630,55,10739,NORMAL
61859,46,51075,NORMAL
62764,47,67969,NORMAL
62813,38,80513,NORMAL
64513,58,87976,NORMAL
65821,44,70518,NORMAL
71711,47,30335,NORMAL
73552,21,0,NORMAL
74883,44,20710,NORMAL
76482,71,65494,NORMAL
78243,47,79270,NORMAL
78269,59,69605,NORMAL
78306,58,18171,NORMAL
78843,30,10643,NORMAL
81437,53,78267,NORMAL
82007,53,40601,NORMAL
82899,50,70031,NORMAL
83809,51,89683,NORMAL
86654,65,50109,NORMAL
88905,74,27477,NORMAL
89381,28,89042,NORMAL
89899,57,29777,NORMAL
94346,59,38619,NORMAL
94677,59,73908,NORMAL
